X,Y,Z,formation
1104436.555,1250209.339,1072.0683,K1ls_mi
1104732.298,1250396.518,1130.1374,K1ls_mi
1104960.443,1250540.913,1156.5801,K1ls_mi
1105230.836,1250712.048,1201.8528,K1ls_mi

1108298.114,1252653.364,1438.8165,K1ls_mi
1108644.556,1252872.631,1440.0544,K1ls_mi

1108701.133,1252914.306,1441.7868,K1ls_mi
1109934.427,1253695.706,1442.1965,K1ls_mi
1109934.427,1253695.706,1442.1965,K1ls_mi
1113127.476,1255718.782,1494.078,K1ls_mi


1110532.862,1255009.996,1347.0728,K1ls_mi
1110627.923,1254704.442,1358.7745,K1ls_mi
1110779.427,1254217.465,1378.1914,K1ls_mi
1110945.784,1253682.746,1403.3023,K1ls_mi
1111005.198,1253491.774,1409.5798,K1ls_mi

1111023.022,1253434.483,1417.8217,K1ls_mi
1111135.907,1253071.637,1421.4358,K1ls_mi
1111281.469,1252603.757,1431.8044,K1ls_mi
1111456.739,1252040.392,1433.8682,K1ls_mi
1111566.653,1251687.095,1436.4505,K1ls_mi
1111626.067,1251496.123,1440.0646,K1ls_mi

1111643.891,1251438.832,1425.7952,K1ls_mi
1111735.981,1251142.826,1452.3583,K1ls_mi
1111816.189,1250885.015,1480.5151,K1ls_mi
1111902.339,1250608.107,1506.0405,K1ls_mi
1111970.664,1250388.49,1532.0724,K1ls_mi

1111991.459,1250321.65,1533.5213,K1ls_mi
1112137.021,1249853.77,1548.885,K1ls_mi
1112199.405,1249653.25,1559.2813,K1ls_mi
1112306.349,1249309.501,1575.091,K1ls_mi
1112353.88,1249156.724,1575.5421,K1ls_mi

1112371.704,1249099.433,1542.7347,K1ls_mi
1112419.234,1248946.656,1542.1402,K1ls_mi
1112472.706,1248774.782,1543.3292,K1ls_mi
1112502.413,1248679.296,1543.9237,K1ls_mi

1112520.237,1248622.005,1549.6837,K1ls_mi
1112642.034,1248230.513,1548.9671,K1ls_mi
1112814.333,1247676.696,1546.8428,K1ls_mi
1112953.954,1247227.914,1545.4158,K1ls_mi
