X,Y,Z,formation
1118551.466,1252657.398,1152.79688,F.Lejia

1113333,1258786,1492.16479,Falla_SJ
1113004,1258684,1617.43579,Falla_SJ
1112640,1258569,1609.02771,Falla_SJ
1112051,1258419,1582.8988,Falla_SJ
1111367,1258250,1406.44861,Falla_SJ
1111126,1258145,1397.57129,Falla_SJ
1110707,1258147,1356.20813,Falla_SJ
1109163,1257159,888.31055,Falla_SJ
1108707,1256995,803.71204,Falla_SJ
1108101,1256853,748.49603,Falla_SJ
1107340,1256047,654.02716,Falla_SJ
1106976,1255920,636.26324,Falla_SJ
1106097,1255493,572.07758,Falla_SJ
1105479,1255179,554.58698,Falla_SJ

1104738,1254883,530.5954,Falla_SJ
1104257,1254751,476.22287,Falla_SJ
1103997,1254606,586.13239,Falla_SJ
1103738,1254556,495.09052,Falla_SJ
1103436,1254469,452.55902,Falla_SJ
1103275,1254406,511.29611,Falla_SJ
1102927,1254346,436.26727,Falla_SJ
1102428,1254156,440.74371,Falla_SJ
1102284,1254131,388.86667,Falla_SJ
1101783,1253827,416.13889,Falla_SJ
1101538,1253711,415.04852,Falla_SJ
1101040,1253426,336.99631,Falla_SJ
1101326,1253566,378.19983,Falla_SJ
1100577,1253177,335.90189,Falla_SJ
1100876,1253319,375.37766,Falla_SJ

1101341,1253576,378.19983,Falla_SJ
1102449,1254155,440.74371,Falla_SJ
1104280,1254761,491.72525,Falla_SJ
1104756,1254900,551.6853,Falla_SJ
1106946,1255910,630.21301,Falla_SJ
1107612,1256204,688.95392,Falla_SJ
1107901,1256649,719.02417,Falla_SJ
1109747,1257823,1050.91467,Falla_SJ


1100634.989,1251770.041,320.71622,F_NN1
1100835.306,1251733.316,319.64932,F_NN1
1101070.679,1251770.041,337.41879,F_NN1
1101666.623,1251765.033,376.73248,F_NN1
1102309.307,1251968.689,439.96252,F_NN1
1102451.199,1251975.367,447.28036,F_NN1
1102653.185,1252062.171,433.42838,F_NN1
1103032.119,1252118.927,534.92004,F_NN1
1103247.46,1252217.417,475.68759,F_NN1
1103676.473,1252462.805,523.27802,F_NN1
1104128.021,1252615.547,569.56769,F_NN1
1104346.701,1252735.738,569.16064,F_NN1
1104668.878,1252782.478,622.04309,F_NN1
1104899.243,1252849.251,663.79126,F_NN1
1105396.698,1252931.047,682.87061,F_NN1
1106343.197,1253336.689,1002.71844,F_NN1
1107264.656,1253804.096,1238.39929,F_NN1
1108499.946,1254091.218,1261.80273,F_NN1
1109122.599,1254154.652,1025.74219,F_NN1




1106236.168,1247242.182,1235.86353,F.Mojarra
1106451.796,1246964.005,1295.29272,F.Mojarra
1106762.893,1246555.794,1432.11072,F.Mojarra
1107120.077,1246266.096,1581.15894,F.Mojarra
1107524.997,1245862.822,1591.93359,F.Mojarra
1107999.049,1245364.08,1664.76343,F.Mojarra
1108338.127,1245008.541,1641.3938,F.Mojarra
1108627.826,1244480.171,1607.97852,F.Mojarra
1109034.391,1243778.969,1615.71851,F.Mojarra
1109101.878,1243668.687,1608.0686,F.Mojarra
1109220.391,1243383.926,1606.70923,F.Mojarra
1109487.045,1242913.166,1569.74524,F.Mojarra
1109617.08,1242740.335,1524.99634,F.Mojarra
1109733.947,1242509.893,1466.03296,F.Mojarra
1110158.618,1242106.62,1348.38196,F.Mojarra
1110421.98,1241668.78,1197.84766,F.Mojarra
1110667.236,1241099.26,1073.66748,F.Mojarra
1110807.147,1240822.73,1041.46069,F.Mojarra
1111042.527,1240533.031,1011.17194,F.Mojarra



1109338.903,1246231.529,1630.77869,F.Calaveras
1109546.301,1245971.459,1629.49402,F.Calaveras
1109669.752,1245792.044,1634.34998,F.Calaveras
1110028.583,1245413.461,1627.86804,F.Calaveras
1110234.335,1245192.895,1622.62122,F.Calaveras
1110626.086,1244751.763,1619.81494,F.Calaveras
1110770.935,1244549.304,1617.7594,F.Calaveras
1110917.43,1244412.685,1618.04211,F.Calaveras
1111406.296,1243797.076,1623.48914,F.Calaveras
1111802.985,1243319.732,1660.67224,F.Calaveras
1111995.569,1243044.848,1658.14539,F.Calaveras
1112268.807,1242416.07,1675.77417,F.Calaveras
1112431.763,1242172.46,1667.74109,F.Calaveras
1112528.877,1241937.081,1627.59851,F.Calaveras
1112586.488,1241704.993,1409.37988,F.Calaveras
1112848.204,1241300.073,1160.21436,F.Calaveras
